"wavelength","Geothite","hematite","gypsum","calcite","kaolinite_114","kaolinite_113","montmorillinite_126","monmorillinite_127","illite_121","illite_120","kaol_smect_124","kaol_smect_125"
386,0.0178,0.0198,0.8858011184,0.8293634091,0.4781,0.5823369763,0.4286,0.5401997139,0.4206,0.1861745161,0.2031162318,0.2004235066
387,0.0178,0.0197,0.886746572,0.8304646933,0.4838,0.585269678,0.4308,0.5442734039,0.4222,0.1878882105,0.2055714786,0.2027625425
388,0.0178,0.0194,0.88760655,0.831109532,0.4885,0.5894667881,0.4341,0.5460725041,0.4238,0.1891130045,0.2079744447,0.2047618785
389,0.0179,0.0192,0.8880199023,0.8315452765,0.4911,0.5938300777,0.4378,0.547174281,0.4255,0.1901093614,0.2103279356,0.2066219852
390,0.0179,0.0192,0.8878736261,0.8320015369,0.4918,0.5969989765,0.4408,0.5498673047,0.4272,0.1912797452,0.2126446551,0.2086759702
391,0.0178,0.0194,0.8878100702,0.8326447139,0.4925,0.5998889372,0.4436,0.552474353,0.4288,0.1926023242,0.2149624934,0.2107775428
392,0.0178,0.0197,0.888500732,0.8336348953,0.4954,0.6036648474,0.4472,0.5526634028,0.4306,0.19394439,0.2173025541,0.2126784265
393,0.0177,0.02,0.8894001388,0.8352130586,0.5001,0.6066973277,0.4506,0.5517806714,0.4323,0.1953460677,0.2195493156,0.2144515554
394,0.0176,0.02,0.8897156495,0.8374797583,0.5053,0.6072343139,0.4525,0.5519679597,0.4338,0.1968808969,0.2215771018,0.2162471594
395,0.0176,0.0199,0.8895330386,0.8396287788,0.5098,0.607946922,0.4541,0.5529737997,0.4353,0.1984883905,0.2234539894,0.2180487037
396,0.0176,0.0195,0.8892410513,0.8407736184,0.5126,0.6119704191,0.4565,0.5538653189,0.4368,0.2000570544,0.2252969722,0.2197910261
397,0.0176,0.0192,0.8892678157,0.841243927,0.5145,0.6168988722,0.4594,0.5543816453,0.4383,0.2014435272,0.2271349209,0.2214496192
398,0.0177,0.0194,0.8898876188,0.8417979115,0.5165,0.6193011114,0.4615,0.5545563953,0.4398,0.202558214,0.2289769569,0.2230314637
399,0.0177,0.0197,0.8904713831,0.843297874,0.5186,0.6202879794,0.4636,0.5547918325,0.4413,0.2036602704,0.2308858602,0.2246397818
400,0.0176,0.02,0.8902854138,0.846324524,0.5204,0.6219680232,0.4663,0.5555719658,0.4429,0.2050204101,0.2329142729,0.2263887518
401,0.0176,0.0201,0.8896743505,0.8497466017,0.5227,0.623576913,0.4695,0.5571523026,0.4444,0.2063371014,0.2349623036,0.2282766637
402,0.0175,0.0202,0.8892622767,0.8521499053,0.5264,0.6239712939,0.4722,0.5594717775,0.4459,0.207252279,0.2368915526,0.230230456
403,0.0175,0.0202,0.8892216903,0.8537057767,0.5303,0.6251886212,0.4745,0.5611731082,0.4473,0.2081437738,0.2386329832,0.2320021097
404,0.0176,0.0203,0.8895776883,0.8549348869,0.5329,0.6294531759,0.4765,0.5609280332,0.4487,0.2094961053,0.2401726423,0.2333546202
405,0.0177,0.0204,0.8903805109,0.8553607939,0.5346,0.6342091852,0.4787,0.5599243298,0.4499,0.2110312186,0.2416681995,0.2344289368
